prop_id,prop_type,province,city,location,bedrooms,bathrooms,area,purpose,date_added,price,pprice
107,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/29/2023,PKR1.75 Crore,17500000
108,House,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",6,9,400 Sq. Yd.,For Sale,6/29/2023,PKR7.15 Crore,71500000
109,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",4,3,356 Sq. Yd.,For Sale,6/28/2023,PKR6.75 Crore,67500000
110,Flat,Sindh,Karachi,"Clifton, Karachi, Sindh",4,3,226 Sq. Yd.,For Sale,6/28/2023,PKR5.25 Crore,52500000
111,Flat,Sindh,Karachi,"Malir, Karachi, Sindh",3,3,161 Sq. Yd.,For Sale,6/28/2023,PKR1.45 Crore,14500000
112,Flat,Sindh,Karachi,"Malir, Karachi, Sindh",2,2,120 Sq. Yd.,For Sale,6/28/2023,PKR95 Lakh,950000000
113,Flat,Sindh,Karachi,"Teacher Society, Karachi, Sindh",3,3,156 Sq. Yd.,For Sale,6/29/2023,PKR1.1 Crore,11000000
114,Flat,Sindh,Karachi,"Scheme 33, Karachi, Sindh",3,2,103 Sq. Yd.,For Sale,6/29/2023,PKR76 Lakh,760000000
115,House,Sindh,Karachi,"Scheme 33, Karachi, Sindh",5,5,200 Sq. Yd.,For Sale,6/29/2023,PKR3.45 Crore,34500000
116,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,6/28/2023,PKR80 Lakh,800000000
117,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,235 Sq. Yd.,For Sale,6/28/2023,PKR1.51 Crore,15100000
118,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",3,3,122 Sq. Yd.,For Sale,6/28/2023,PKR1.4 Crore,14000000
119,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,6/28/2023,PKR1.4 Crore,14000000
120,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,6,"1,000 Sq. Yd.",For Sale,6/28/2023,PKR24 Crore,240000000
121,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",9,9,600 Sq. Yd.,For Sale,6/28/2023,PKR11.75 Crore,117500000
122,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",5,4,262 Sq. Yd.,For Sale,6/28/2023,PKR6.25 Crore,62500000
123,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,5,500 Sq. Yd.,For Sale,6/28/2023,PKR10.5 Crore,105000000
124,Flat,Sindh,Karachi,"Cantt, Karachi, Sindh",3,3,289 Sq. Yd.,For Sale,6/30/2023,PKR3.75 Crore,37500000
125,House,Sindh,Karachi,"Cantt, Karachi, Sindh",5,5,375 Sq. Yd.,For Sale,6/30/2023,PKR7.2 Crore,72000000
126,House,Sindh,Karachi,"Cantt, Karachi, Sindh",5,5,377 Sq. Yd.,For Sale,6/30/2023,PKR7.3 Crore,73000000
127,Flat,Sindh,Karachi,"Cantt, Karachi, Sindh",3,3,300 Sq. Yd.,For Sale,6/30/2023,PKR4 Crore,40000000
128,House,Sindh,Karachi,"Cantt, Karachi, Sindh",5,5,377 Sq. Yd.,For Sale,6/30/2023,PKR7.1 Crore,71000000
129,Flat,Sindh,Karachi,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,89 Sq. Yd.,For Sale,6/29/2023,PKR70 Lakh,700000000
130,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/29/2023,PKR1.65 Crore,16500000
131,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,3,125 Sq. Yd.,For Sale,6/29/2023,PKR1.77 Crore,17700000
132,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,96 Sq. Yd.,For Sale,6/29/2023,PKR82.1 Lakh,821000000
